utc,sample_time,a,g,m,epoch,session,fin_id
2019-01-29T18:15:01.5970+00:00,365570391,"[83, 480, 64]","[-259, -94, -50]","[24, -88, 72]",1548785701.5967,google_111888579673996337640_000666D6BB68_190129181452,D6BB68
2019-01-29T18:15:01.8480+00:00,365570642,"[-23, 329, 75]","[-45, 128, -303]","[51, -107, 49]",1548785701.8484,google_111888579673996337640_000666D6BB68_190129181452,D6BB68
2019-01-29T18:15:02.1000+00:00,365570893,"[-29, 562, 28]","[148, -24, 143]","[52, -98, 68]",1548785702.1002,google_111888579673996337640_000666D6BB68_190129181452,D6BB68
2019-01-29T18:15:02.3520+00:00,365571144,"[98, 513, 82]","[-36, -42, 127]","[39, -95, 85]",1548785702.3520,google_111888579673996337640_000666D6BB68_190129181452,D6BB68
2019-01-29T18:15:02.6040+00:00,365571395,"[68, 531, 17]","[17, 56, 18]","[35, -89, 69]",1548785702.6037,google_111888579673996337640_000666D6BB68_190129181452,D6BB68
2019-01-29T18:15:02.8540+00:00,365571645,"[-58, 417, 16]","[-53, 104, -200]","[50, -96, 64]",1548785702.8545,google_111888579673996337640_000666D6BB68_190129181452,D6BB68
2019-01-29T18:15:03.1060+00:00,365571896,"[-44, 584, -25]","[-26, 65, 109]","[51, -101, 69]",1548785703.1062,google_111888579673996337640_000666D6BB68_190129181452,D6BB68
2019-01-29T18:15:03.3580+00:00,365572147,"[26, 522, 28]","[-33, 35, 150]","[38, -88, 40]",1548785703.3580,google_111888579673996337640_000666D6BB68_190129181452,D6BB68
2019-01-29T18:15:03.6090+00:00,365572397,"[64, 531, 1]","[102, 114, 10]","[14, -88, 40]",1548785703.6087,google_111888579673996337640_000666D6BB68_190129181452,D6BB68
2019-01-29T18:15:03.8600+00:00,365572647,"[43, 440, 29]","[-15, 137, -96]","[29, -99, 49]",1548785703.8595,google_111888579673996337640_000666D6BB68_190129181452,D6BB68
2019-01-29T18:15:04.1110+00:00,365572898,"[15, 510, 27]","[-31, 83, 75]","[36, -92, 44]",1548785704.1113,google_111888579673996337640_000666D6BB68_190129181452,D6BB68
2019-01-29T18:15:04.3620+00:00,365573148,"[32, 530, 21]","[34, 66, 41]","[27, -87, 41]",1548785704.3620,google_111888579673996337640_000666D6BB68_190129181452,D6BB68
2019-01-29T18:15:04.6150+00:00,365573400,"[-47, 534, 28]","[-15, -45, -20]","[15, -89, 47]",1548785704.6148,google_111888579673996337640_000666D6BB68_190129181452,D6BB68
2019-01-29T18:15:04.8650+00:00,365573649,"[-7, 485, -2]","[-102, -92, -30]","[28, -92, 26]",1548785704.8645,google_111888579673996337640_000666D6BB68_190129181452,D6BB68
